,delay,packet_loss,netstream_upward,netstream_downward
7875,5.833333333,0.0,808940.0,649430.0
7876,5.666666667,0.0,672780.0,393252.0
7877,6.555555556,0.0,877896.0,560368.0
7878,6.555555556,0.0,1500668.0,17941904.0
7879,5.777777778,0.0,705562.0,496813.0
7880,6.555555556,0.0,732889.0,330856.0
7881,6.388888889,0.0,747904.0,427433.0
7882,5.666666667,0.0,692361.0,453295.0
7883,6.266666667,0.0,888497.0,578063.0
7884,6.111111111,0.055555556,1475085.0,15842644.0
7885,6.055555556,0.0,713871.0,506762.0
7886,6.5,0.0,771908.0,437977.0
7887,5.666666667,0.0,736716.0,309698.0
7888,6.444444444,0.0,731454.0,537699.0
7889,5.611111111,0.0,890858.0,558133.0
7890,5.888888889,0.0,1435843.0,15728128.0
7891,5.944444444,0.0,653896.0,265832.0
7892,6.333333333,0.0,782343.0,479448.0
7893,6.166666667,0.0,814572.0,573336.0
7894,6.388888889,0.0,680617.0,352202.0
7895,6.611111111,0.0,990051.0,917754.0
7896,5.666666667,0.0,1506346.0,15882206.0
7897,5.666666667,0.0,643264.0,261792.0
7898,5.888888889,0.0,742807.0,371286.0
7899,6.222222222,0.0,751776.0,522165.0
7900,6.611111111,0.0,681014.0,431497.0
7901,5.666666667,0.0,848655.0,399841.0
7902,6.055555556,0.0,1476883.0,17947346.0
7903,6.555555556,0.0,667159.0,347493.0
7904,6.666666667,0.0,783633.0,498185.0
7905,5.888888889,0.0,803884.0,651716.0
7906,6.388888889,0.0,784820.0,795087.0
7907,5.666666667,0.0,870359.0,491919.0
7908,6.0,0.333333333,1452278.0,17945263.0
7909,6.444444444,0.0,711052.0,437731.0
7910,6.0,0.0,781990.0,349258.0
7911,6.166666667,0.0,759679.0,501214.0
7912,6.0,0.0,684020.0,393320.0
7913,6.666666667,0.0,865512.0,497293.0
7914,6.444444444,0.0,1462984.0,16436401.0
7915,5.611111111,0.0,631251.0,267807.0
7916,6.444444444,0.0,738702.0,323329.0
7917,6.333333333,0.166666667,766188.0,508864.0
7918,6.611111111,0.0,663191.0,360971.0
7919,6.666666667,0.0,922354.0,660656.0
7920,6.0,0.0,1464606.0,17747273.0
7921,5.944444444,0.0,717300.0,1411491.0
7922,5.666666667,0.0,741555.0,318829.0
7923,6.555555556,0.0,774739.0,465543.0
7924,5.833333333,0.0,661469.0,329125.0
7925,6.388888889,0.0,885231.0,505881.0
7926,6.555555556,0.0,1518134.0,15839846.0
7927,6.0,0.111111111,668727.0,355010.0
7928,6.666666667,0.277777778,756678.0,369000.0
7929,5.722222222,0.0,735189.0,313158.0
7930,5.666666667,0.0,855468.0,1011441.0
7931,6.055555556,0.0,900610.0,999320.0
7932,6.555555556,0.0,1476015.0,15726536.0
7933,5.666666667,0.0,740925.0,641340.0
7934,6.555555556,0.0,781391.0,387365.0
7935,6.666666667,0.0,796615.0,452079.0
7936,6.611111111,0.0,670952.0,285498.0
7937,6.333333333,0.0,883907.0,437496.0
7938,6.0,0.0,1516985.0,15881833.0
7939,5.611111111,0.0,708344.0,481068.0
7940,5.611111111,0.0,817189.0,509131.0
7941,6.666666667,0.0,769230.0,339886.0
7942,6.5,0.0,665081.0,324636.0
7943,6.611111111,0.0,927373.0,509680.0
7944,6.611111111,0.0,1497830.0,18490469.0
7945,6.611111111,0.0,811313.0,549079.0
7946,6.0,0.0,771990.0,344161.0
7947,6.555555556,0.0,826075.0,572078.0
7948,6.611111111,0.0,724095.0,310635.0
7949,5.722222222,0.0,944405.0,465416.0
7950,6.523809524,0.0,1598041.0,15976110.0
