,delay,packet_loss,netstream_upward,netstream_downward
1825,7.722222222222222,0.0,1213935.0,702242.0
1826,7.722222222222222,0.0,24640361.714393582,11319162.616546504
1827,9.0,0.0,1785696.0,37861061.0
1828,9.0,0.0,4609829.0,111667328.0
1829,10.166666666666666,0.0,29997536.857272297,35343134.93985581
1830,11.444444444444445,0.0,12449471.714333177,39378585.711280465
1831,10.333333333333334,0.0,14696579.057199812,47113854.453536555
1832,11.166666666666666,0.0,12707822.525761057,54272792.82093456
1833,14.27777777777778,0.0,2919318.0,43730302.0
1834,11.88888888888889,0.0,3275809.0,57503798.0
1835,11.22222222222222,0.0,2319970.0,24034832.0
1836,12.444444444444445,0.0,7183899.716592173,45331115.85489422
1837,11.61111111111111,0.0,5681363.848470646,44974568.13516576
1838,13.11111111111111,0.0,4276072.113012564,43114923.198011994
1839,13.333333333333334,0.0,872779.0,415636.0
1840,9.166666666666666,0.0,1756060.0,10685512.0
1841,9.38888888888889,0.0,1215537.0,5561532.0
1842,9.666666666666666,0.0,2760362.392296642,20950434.26663555
1843,9.055555555555555,0.0,2176162.101061841,16145607.492929509
1844,8.5,0.0,1756180.0986716966,10751744.35191301
1845,7.333333333333333,0.0,946511.0,592686.0
1846,8.222222222222221,0.0,1699095.0,10757525.0
1847,7.571428571428571,0.0,1232043.0,5988825.0
1848,7.444444444444445,0.0,1561998.2399467076,8847277.568968505
1849,7.888888888888889,0.0,1439165.4677236811,7387611.584176304
1850,7.333333333333333,0.0,0.0,5041014.0
1851,8.38888888888889,0.0,925919.0,582901.0
1852,7.666666666666667,0.0,1753265.0,12367647.0
1853,8.0,0.0,1838134.0,10027756.0
1854,7.222222222222222,0.0,1191296.6935447361,7081385.916835261
1855,8.277777777777779,0.0,1141722.9387089473,7020140.783367053
1856,7.833333333333333,0.0,1370067.5264507367,7415966.140040463
1857,8.166666666666666,0.0,993374.0,819707.0
1858,8.11111111111111,0.0,1704758.0,11088593.0
1859,8.11111111111111,0.0,1335516.0,5790583.0
1860,7.722222222222222,0.0,1309087.6930319367,6426997.984681504
1861,7.611111111111111,0.0,1342560.6438965346,6308369.424944393
1862,7.611111111111111,0.0,1337059.2673856942,6086850.081925179
1863,8.166666666666666,0.0,2953927.0,12665096.0
